name,id
A1BG,NM_130786
A1BG-AS1,NR_015380
A1CF,NM_001198818
A1CF,NM_001198819
A1CF,NM_001198820
A1CF,NM_001370130
A1CF,NM_001370131
A1CF,NM_014576
A1CF,NM_138932
A1CF,NM_138933
A1CF,XM_054365674
A1CF,XM_054365675
A1CF,XM_054365676
A1CF,XM_054365677
A1CF,XM_054365678
A1CF,XM_054365679
A2M,NM_000014
A2M,NM_001347423
A2M,NM_001347424
A2M,NM_001347425
A2M,XM_054371391
A2M-AS1,NR_026971
A2M-AS1,NR_137424
A2M-AS1,NR_137425
A2ML1,NM_001282424
A2ML1,NM_144670
A2ML1,XM_054371194
A2ML1,XM_054371195
A2ML1,XM_054371196
A2ML1,XM_054371197
A2ML1,XM_054371198
A2ML1,XR_008488539
A2ML1,XR_008488540
A2MP1,NR_040112
A3GALT2,NM_001080438
A4GALT,NM_001318038
A4GALT,NM_017436
A4GALT,NR_146459
A4GALT,XM_054325708
A4GALT,XM_054325709
A4GALT,XM_054325710
A4GALT,XM_054325711
A4GALT,XM_054325712
A4GALT,XM_054325713
A4GALT,XM_054325714
A4GALT,XM_054325715
A4GALT,XM_054325716
A4GALT,XM_054325717
A4GNT,NM_016161
A4GNT,XM_054346722
A4GNT,XM_054346723
AA06,NR_037584
AAAS,NM_001173466
AAAS,NM_015665
AACS,NM_001319839
AACS,NM_001319840
AACS,NM_001414675
AACS,NM_001414676
AACS,NM_001414677
AACS,NM_001414678
AACS,NM_023928
AACS,NR_183032
AACS,NR_183033
AACS,XM_054373037
AACS,XM_054373038
AACS,XR_008488666
AACSP1,NR_024035
AACSP1,NR_135095
AADAC,NM_001086
AADAC,XM_054345180
AADAC,XM_054345181
AADAC,XM_054345182
AADACL2,NM_207365
AADACL2-AS1,NR_110202
AADACL2-AS1,NR_110203
AADACL3,NM_001103170
AADACL3,NR_111984
AADACL4,NM_001013630
AADACL4,XM_054336311
AADACP1,NR_026915
AADAT,NM_001286682
AADAT,NM_001286683
AADAT,NM_016228
AADAT,NM_182662
AADAT,XM_054350148
AADAT,XM_054350149
AADAT,XM_054350150
AADAT,XM_054350151
AAGAB,NM_001271885
AAGAB,NM_001271886
AAGAB,NM_024666
AAGAB,XM_054378783
AAGAB,XM_054378784
AAGAB,XR_008489010
AAK1,NM_001371575
AAK1,NM_001371577
AAK1,NM_014911
AAMDC,NM_001316957
AAMDC,NM_001316958
AAMDC,NM_001316960
AAMDC,NM_001316961
AAMDC,NM_001316962
