"","gene","class"
"1","Kcnq5","early_up"
"2","Sema4c","early_up"
"3","Spats2l","early_up"
"4","Ica1l","early_up"
"5","1700039I01Rik","early_up"
"6","Tns1","early_up"
"7","Cdk5r2","early_up"
"8","Ptprn","early_up"
"9","Epha4","early_up"
"10","Sgpp2","early_up"
"11","Dock10","early_up"
"12","Gbx2","early_up"
"13","LOC102637806","early_up"
"14","Cdh20","early_up"
"15","Cntn2","early_up"
"16","Lrrn2","early_up"
"17","Lad1","early_up"
"18","Ptprc","early_up"
"19","Ankrd45","early_up"
"20","Lefty2","early_up"
"21","Pycr2","early_up"
"22","Esrrg","early_up"
"23","G0s2","early_up"
"24","Plxna2","early_up"
"25","Proser2","early_up"
"26","Gpsm1","early_up"
"27","Nek6","early_up"
"28","Tnfaip6","early_up"
"29","Chn1os3","early_up"
"30","Chn1","early_up"
"31","Hoxd13","early_up"
"32","Neurod1","early_up"
"33","Serping1","early_up"
"34","Lrrc55","early_up"
"35","Chst1","early_up"
"36","Trp53i11","early_up"
"37","Abtb2","early_up"
"38","Ryr3","early_up"
"39","Ncaph","early_up"
"40","Itpripl1","early_up"
"41","Fbln7","early_up"
"42","Plcb1","early_up"
"43","Fam110a","early_up"
"44","Slc52a3","early_up"
"45","Srxn1","early_up"
"46","Id1","early_up"
"47","Bcl2l1","early_up"
"48","Tm9sf4","early_up"
"49","Cnbd2","early_up"
"50","Emilin3","early_up"
"51","Gdap1l1","early_up"
"52","Pkig","early_up"
"53","Cd40","early_up"
"54","Snai1","early_up"
"55","Ptpn1","early_up"
"56","Sall4","early_up"
"57","Gm14261","early_up"
"58","Bmp7","early_up"
"59","Cldn11","early_up"
"60","Zfp267","early_up"
"61","Mgarp","early_up"
"62","Maml3","early_up"
"63","Schip1","early_up"
"64","Dchs2","early_up"
"65","Rhbg","early_up"
"66","Efna3","early_up"
"67","Kcnn3","early_up"
"68","She","early_up"
"69","Sema6c","early_up"
"70","BC028528","early_up"
"71","Car14","early_up"
"72","Igsf3","early_up"
"73","Wnt2b","early_up"
"74","AI504432","early_up"
"75","Slc6a17","early_up"
"76","Sort1","early_up"
"77","Palmd","early_up"
