,gene,gene_length(kb),0h_no_dox_1,0h_no_dox_11,0h_no_dox_12,0h_no_dox_2,12h_is_dox_5,12h_is_dox_6,12h_no_dox_3,12h_no_dox_4,24h_is_dox_10,24h_is_dox_13,24h_is_dox_14,24h_is_dox_17,24h_is_dox_18,24h_is_dox_19,24h_is_dox_20,24h_is_dox_9,24h_no_dox_15,24h_no_dox_16,24h_no_dox_7,24h_no_dox_8
0,Gm26206,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Xkr4,14.824,133,27,32,128,160,112,636,375,37,48,23,32,21,29,32,200,108,132,869,262
2,Gm53491,24.933,0,2,1,0,1,1,3,2,1,0,1,0,0,1,0,2,2,0,4,5
3,Gm57489,0.969,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,3,0,0,4,0
4,Gm27396,0.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Rp1,12.004,0,0,0,0,3,0,1,1,1,0,1,0,2,1,0,1,1,2,4,1
6,Sox17,5.692,46,19,9,83,218,158,365,225,119,77,12,7,4,13,52,557,32,21,3363,1087
7,Gm22307,0.107,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,6,0
8,Gm37323,2.114,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,1
9,Gm39586,0.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Gm46082,1.551,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1
11,Gm29874,3.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
12,Gm7369,1.386,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
13,Mrpl15,5.105,2916,3427,3122,3457,5946,2649,7175,3121,1079,1765,1714,1821,2109,1365,1453,4786,2493,2241,5162,1949
14,Lypla1,2.503,4066,2691,1758,3640,8087,3023,8355,3719,1364,1634,1195,2073,2327,1107,1149,6324,2736,2546,6250,2033
15,Gm57794,0.308,11,4,12,10,9,1,10,5,2,2,2,2,4,3,3,10,1,2,10,3
16,Tcea1,2.847,2715,3572,2897,3103,6334,2541,7223,3165,1296,2546,2158,2419,2837,2077,1707,6130,2957,2833,5706,1921
17,Rgs20,7.499,23,33,22,58,87,48,113,59,43,21,32,18,33,39,30,131,25,28,117,55
18,Gm16041,4.158,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0
19,Atp6v1h,4.357,1281,1422,1262,1700,3565,1383,3651,1544,664,990,877,945,974,853,797,3250,1088,1087,2962,988
20,Oprk1,4.751,31,26,16,31,12,3,89,22,2,1,0,1,2,9,3,15,19,8,41,25
21,Npbwr1,3.692,2,1,0,0,1,3,0,0,3,2,0,5,3,1,0,7,1,0,0,0
22,Gm46206,1.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,4732440D04Rik,3.848,18,0,7,15,86,26,72,33,29,28,3,15,23,16,6,304,3,10,141,27
24,Rb1cc1,8.335,1128,740,674,1240,3054,1300,3537,1581,849,951,656,1057,1065,739,552,4499,997,981,3206,979
25,Alkal1,0.858,1,1,2,1,4,0,4,0,0,0,1,1,0,0,0,7,0,1,1,0
26,St18,10.065,0,1,1,1,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0
27,Gm37108,0.714,2,8,2,10,2,4,3,6,1,12,0,1,3,3,5,2,4,2,1,2
28,Pcmtd1,7.477,1676,1291,1069,1669,4655,1634,5050,1623,961,1033,842,1323,1315,824,742,5781,1248,1062,3987,889
29,Gm26983,0.618,2,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,1
30,Gm23274,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Gm26901,14.792,14,20,28,28,54,18,63,33,12,3,5,9,11,8,10,39,16,18,82,20
32,Gm39589,0.678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Sntg1,10.305,0,0,3,1,2,3,9,4,1,1,1,0,1,1,0,6,2,3,19,4
34,Gm6152,1.223,1,0,0,0,0,0,6,0,1,0,0,0,0,0,0,3,0,0,11,4
35,Gm7445,0.48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,Gm7493,1.017,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,Gm6187,0.986,0,0,0,1,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1
38,Gm30719,0.602,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0
39,Gm24765,0.103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Rrs1,2.048,2392,2532,2019,2801,4794,2433,5525,2857,775,1519,1548,1316,1906,1544,1392,2559,2192,2037,3976,1825
41,Adhfe1,3.416,58,33,28,64,90,36,147,57,8,4,7,7,5,4,11,65,18,17,110,40
42,2610203C22Rik,1.246,1,0,0,1,13,2,9,1,2,1,4,1,2,1,3,1,0,2,11,1
43,Vxn,3.187,1,0,0,0,2,2,8,1,0,0,2,1,0,2,1,9,0,1,8,1
44,Mybl1,7.445,330,153,284,363,3728,816,1544,448,208,239,438,522,541,304,312,1720,375,439,2344,502
45,Vcpip1,9.749,1440,797,895,1522,3355,1497,3867,1901,842,936,747,1346,1369,801,645,3509,1527,1295,3368,1214
46,1700034P13Rik,1.494,3,4,4,4,5,4,9,5,0,1,1,5,3,2,1,11,3,5,11,3
47,Gm39590,3.028,0,0,0,0,3,0,1,0,0,1,0,0,0,0,2,0,0,0,2,1
48,Gm51615,0.498,2,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0
49,Sgk3,5.622,438,300,275,476,1713,573,1479,644,163,178,395,399,379,183,253,870,636,581,1935,520
50,Gm6195,0.446,4,1,0,0,2,1,1,4,2,0,0,0,0,1,2,1,0,1,1,1
51,Mcmdc2,2.599,1,5,2,3,13,2,3,2,0,1,1,4,3,3,0,2,4,1,2,0
52,Snhg6,0.407,385,282,305,366,1299,472,1452,510,241,336,403,446,529,332,360,1396,522,486,1328,296
53,Snord87,0.074,7,17,9,11,81,16,75,16,9,9,12,19,22,18,16,34,41,32,70,4
54,Tcf24,4.059,64,39,29,73,158,82,129,77,24,28,55,61,59,38,41,137,67,75,149,53
55,Ppp1r42,6.455,0,0,0,0,1,0,3,2,0,1,0,0,0,0,0,1,2,0,3,0
56,Gm24674,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Cops5,1.739,2372,3062,2242,3034,6319,3143,7382,3152,1451,2393,2162,2401,2852,1814,1868,6999,2550,2561,6158,2061
58,Cspp1,4.927,828,618,687,808,2202,780,2944,938,429,621,539,643,710,585,432,2648,854,714,2689,673
59,Arfgef1,7.453,2379,1900,1950,2831,5865,3513,6726,4083,1923,2287,2211,2787,2935,2017,1866,7105,2603,2635,7769,2976
60,Cpa6,3.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1
61,Gm25253,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Gm15603,0.467,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
63,Gm28659,0.864,1,0,1,1,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,1
64,Prex2,16.371,495,295,458,517,883,336,931,443,150,202,231,359,290,267,147,777,402,355,467,166
65,Gm24173,0.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
66,A830018L16Rik,10.143,224,117,96,212,310,83,556,185,58,147,34,44,36,87,24,361,137,111,306,77
67,Gm30898,6.165,0,0,0,0,2,0,1,1,2,0,0,0,0,0,1,5,0,0,4,1
68,Gm30974,0.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Gm22633,0.107,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
70,Gm39591,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Mir6341,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Gm17644,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
73,Sulf1,6.788,2815,2074,2210,3163,9517,4654,10563,4728,2852,3188,2542,3096,3393,3427,2580,13678,3139,2952,11890,3888
74,Slco5a1,10.134,106,79,87,140,374,228,659,384,91,90,231,207,239,114,198,281,281,283,939,431
75,Gm39592,0.253,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Prdm14,2.676,15,11,23,12,12,1,28,6,2,5,4,11,7,0,9,10,21,13,30,6
77,Ncoa2,15.19,1717,1289,1208,2108,2799,1899,4324,2441,1305,1507,1247,1474,1620,1349,1086,3577,1774,1586,3747,1760
78,Gm23169,0.112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
79,Gm51852,0.113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Gm39595,0.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Gm39600,0.287,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
82,Tram1,2.943,2541,2172,1339,3234,6579,3253,7613,4147,1814,2143,1487,2236,2496,1498,1389,7857,2653,2618,7333,2615
83,Lactb2,3.111,892,854,758,1176,2687,950,3037,1252,487,904,449,801,827,702,436,2871,949,887,2486,788
84,Xkr9,2.573,1,1,1,2,7,4,7,6,0,2,0,0,0,0,0,2,0,0,4,3
85,Gm26273,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Gm5523,1.245,11,2,1,12,2,9,2,16,5,1,0,4,3,0,0,1,3,3,2,5
87,Gm31195,0.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Gm39596,0.83,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
89,Eya1,5.865,35,35,52,34,115,96,148,48,149,217,121,170,235,158,126,534,58,49,317,106
90,Msc,1.925,34,33,18,30,19,9,74,24,1,0,2,3,2,0,2,2,41,48,51,17
91,Gm9947,5.546,1,0,0,1,6,0,5,1,0,0,1,0,0,0,0,0,2,8,6,6
92,Gm33500,0.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Trpa1,4.267,86,92,84,68,83,55,235,96,22,24,73,72,57,86,55,74,143,100,119,39
94,Gm26345,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Gm5048,0.526,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1
96,Kcnb2,16.777,1,0,0,1,9,8,6,4,56,61,18,29,32,19,16,235,1,0,14,1
97,Gm51616,8.647,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
98,Gm51617,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Gm25227,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Gm25168,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Terf1,3.361,2647,2584,2659,3105,5060,2001,7180,3211,926,1311,1164,1435,1668,1133,1088,4388,2708,2625,4803,1748
102,Sbspon,2.748,5,8,4,9,27,8,28,7,7,6,4,9,8,0,8,43,12,6,31,3
103,Gm31523,1.959,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,4930444P10Rik,1.849,3,2,1,2,5,3,4,2,6,3,8,3,8,3,6,19,2,3,5,1
105,Rpl7,0.934,33307,39958,32627,38219,80282,40923,98831,42949,23763,40047,31762,43280,47787,31769,30781,102450,42200,39958,80936,29846
106,Rdh10,2.295,165,152,115,278,561,281,643,361,325,360,348,368,474,356,309,1331,194,188,623,268
107,Stau2,9.867,475,364,217,633,977,457,1566,735,327,293,305,350,441,324,331,1408,391,432,1352,504
108,Gm7568,0.955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
109,C130013N14Rik,13.261,2,4,7,9,29,6,34,10,1,3,6,12,10,5,3,29,9,14,30,5
110,Ube2w,15.777,461,360,261,558,1396,553,1643,709,365,477,279,523,532,329,264,2103,480,448,1597,436
111,Eloc,3.064,1924,2242,1356,2197,5122,2178,6211,2595,993,1766,1340,1793,1967,1072,1081,5137,1981,1979,5056,1649
112,D030040B21Rik,2.788,0,0,0,0,5,0,6,2,0,0,0,0,0,0,0,6,1,1,3,1
113,Tmem70,2.092,386,373,215,485,1043,572,1155,653,330,497,297,411,433,342,263,1534,378,374,1270,440
114,Ly96,0.603,9,6,0,4,14,10,11,8,5,5,4,1,0,6,2,9,5,5,11,5
115,Gm53492,0.415,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Jph1,5.071,661,391,294,865,1141,531,1867,822,286,348,229,279,321,366,205,924,435,371,1283,428
117,Gm46085,3.4,13,6,2,11,16,7,35,15,6,5,1,2,2,4,2,21,8,7,23,8
118,Gm31982,0.742,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2
119,Gdap1,6.246,8,8,5,17,20,9,28,11,1,2,2,12,9,3,5,34,5,10,34,9
120,Gm28784,3.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Gm39597,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Gm25166,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Pi15,7.217,4,0,0,1,7,0,14,7,1,0,1,1,0,1,0,0,3,5,12,2
124,Gm28154,5.489,0,1,2,1,0,1,1,1,1,0,0,2,1,2,0,7,0,1,2,1
125,Gm16070,2.264,0,0,0,0,2,1,2,1,0,2,1,2,0,2,0,13,2,1,3,0
126,Crispld1,8.046,70,72,55,85,50,22,138,32,46,92,16,47,46,59,9,225,62,39,96,38
127,Crisp4,1.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Defb44-ps,0.232,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0
129,Defb18,0.362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Defb41,0.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Gm24075,0.076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Gm28343,0.21,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2
133,Gm15825,0.918,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,Tfap2d,10.272,3,0,3,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,3,1
135,Tfap2b,9.161,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,3,0
136,LOC118567642,0.539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Gm32651,0.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Pkhd1,15.294,11,5,47,16,16,4,15,5,1,1,3,5,5,1,1,7,6,5,6,2
139,4930486I03Rik,0.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Gm15795,0.492,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0
141,Gm24162,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Lincmd1,0.521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Mir206,0.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Mir133b,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Il17a,1.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Il17f,1.958,0,5,4,4,4,2,6,2,4,0,4,0,1,4,2,7,4,0,6,0
147,Mcm3,3.035,10133,10531,11101,11555,22992,11963,28517,12056,5983,9341,8682,9586,11439,9939,8799,23220,13397,11965,22716,8803
148,Gm24723,0.132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,6720483E21Rik,1.12,4,1,2,2,5,1,5,1,0,0,0,1,0,2,0,13,5,0,9,1
150,Paqr8,5.516,242,141,124,205,363,264,616,338,202,185,182,192,231,168,144,628,285,222,480,211
151,Gm24171,0.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Gm51618,0.795,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
153,Efhc1,2.356,16,25,19,24,55,26,69,44,24,18,21,18,31,39,25,105,21,49,124,47
154,Tram2,1.39,69,47,65,112,197,136,213,135,84,104,108,109,142,141,93,272,113,74,201,115
155,Tmem14a,1.518,80,74,59,77,163,55,212,74,44,50,33,53,66,65,38,258,73,56,218,77
156,Gm32947,0.978,3,7,6,8,8,0,2,2,1,0,1,0,0,1,0,6,2,0,3,0
157,Gm28836,1.142,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
158,Gsta3,1.668,4,13,43,11,23,7,19,10,1,3,4,3,6,2,9,13,6,8,19,7
159,Gm7094,0.795,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,2,0,2,1
160,Gm4956,1.148,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
161,Khdc1a,1.95,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,1,1,2,0
162,Khdc1c,0.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Gm33147,0.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Khdc1b,2.247,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
165,Kcnq5,15.312,36,36,18,63,87,58,80,35,38,43,36,51,46,53,34,146,35,36,64,30
166,Gm53539,34.44,2,1,1,5,6,0,1,0,0,1,1,3,2,1,0,0,3,2,2,1
167,Rims1,11.816,54,58,64,82,60,30,115,44,11,7,27,27,19,20,20,38,34,27,52,25
168,Gm7759,1.447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Gm7761,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Ppp1r14bl,1.781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Gm30442,0.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Gm29506,0.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Gm24176,0.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,Gm53541,35.305,33,15,10,34,156,24,175,47,20,14,13,34,35,24,18,220,57,39,263,36
175,Mir30a,0.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Mir30c-2,0.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,Ogfrl1,4.873,402,436,248,588,888,434,1335,609,279,494,258,436,413,343,219,1219,397,409,1106,373
178,Gm19673,3.711,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
179,Gm28822,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,B3gat2,4.362,11,7,10,13,35,12,75,23,5,7,16,10,13,14,11,48,22,12,78,12
181,Smap1,5.448,849,717,587,1015,1753,992,2360,1255,651,806,796,783,897,855,726,2191,1136,988,2485,1026
182,Gm53062,0.705,0,0,1,0,2,1,4,0,0,0,0,0,1,2,0,2,2,1,3,0
183,Sdhaf4,0.667,196,255,136,184,397,246,565,217,148,272,172,259,255,154,130,722,265,219,625,191
184,Fam135a,6.802,1078,654,592,1207,3830,1371,4122,1644,886,1093,919,1354,1444,866,743,5853,1336,1214,4761,1322
185,Gm30756,0.891,0,0,2,3,1,1,4,0,0,0,0,0,0,0,0,3,1,0,1,2
186,Col9a1,4.243,2,3,0,5,21,26,46,17,72,62,18,14,34,5,44,396,37,44,268,74
187,Col19a1,13.281,0,0,0,3,27,27,9,6,0,5,18,16,10,3,14,15,2,1,147,31
188,Gm26418,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
189,Lmbrd1,7.121,482,382,303,567,1451,805,1861,778,583,591,535,676,707,449,451,2493,585,529,2366,762
190,Gm9443,0.819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Gm29414,0.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Adgrb3,6.076,8,4,14,16,24,15,65,20,30,11,18,21,19,20,25,80,14,14,58,29
193,Gm20172,1.551,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Gm22260,0.107,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Gm25294,0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,Gm9884,1.015,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
197,Gm39614,2.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,Gm31076,0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,Gm24064,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Gm31136,1.069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Spata31e2,4.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,n-R5s209,0.119,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
203,Gm5524,1.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Gm7846,0.388,25,125,17,20,63,25,76,46,14,96,24,26,36,15,19,61,36,39,72,25
205,Spata31e5,2.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Gm45942,0.632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,Gm6462,0.306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,Mir6342,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Gm31465,2.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,Gm31525,3.053,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Gm39615,6.269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
212,Gm31581,0.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Gm46086,0.273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Gm9898,1.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Gm57566,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Gm2914,0.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Phf3,8.452,3639,2817,3423,4143,7757,3711,9953,4280,2502,2997,2661,3415,3367,2627,1998,10023,3604,3002,8548,2955
218,Ptp4a1,4.464,962,1048,1028,1078,1850,1051,2293,1164,626,1232,944,1128,1345,894,716,2179,1183,1175,2191,844
219,Gm53209,1.468,1,1,2,0,2,1,1,0,1,0,0,1,0,0,2,0,2,1,1,1
220,Gm9458,0.829,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Gm29669,0.881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Gm28644,4.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
223,4931428L18Rik,1.094,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
224,Lgsn,2.059,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
225,Dnaaf6rt,1.449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Gm26145,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Gm4850,0.914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Gm57572,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Gm23032,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Gm51754,0.283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,Khdrbs2,35.11,3,1,0,4,9,3,8,3,3,5,5,1,2,2,1,5,5,6,8,2
232,Gm25814,0.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,Gm46077,0.409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,Gm9839,1.437,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
235,Semp2l1,3.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
236,Gm24732,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Gm39616,1.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
238,Gm24901,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Gm39617,0.331,0,2,0,0,0,2,1,1,0,0,0,0,1,0,0,2,0,0,0,0
240,Gm25792,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Gm23453,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Prim2,4.492,1053,1115,1091,1340,2768,1303,3127,1355,828,1089,851,1078,1315,980,884,3435,1128,1135,2620,907
243,Gm29228,0.53,0,0,0,2,2,2,1,1,0,0,0,1,0,0,0,2,1,0,1,2
